,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
28,0.0,0.0,0.0031447410583496094,0.006289482116699219,entropy,3,8,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 8}",0.8251748251748252,0.8251748251748252,0.8098591549295775,0.7816901408450704,0.8309859154929577,0.8145769723234512,0.017875591580186683,1
29,0.007647657394409179,0.006771734308539325,0.0004466056823730469,0.0008932113647460939,entropy,3,10,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 10}",0.8251748251748252,0.8251748251748252,0.8098591549295775,0.7816901408450704,0.8309859154929577,0.8145769723234512,0.017875591580186683,1
30,0.005839014053344726,0.007151527860936032,0.0008102893829345703,0.0016205787658691406,entropy,5,2,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",0.7832167832167832,0.7622377622377622,0.7746478873239436,0.7605633802816901,0.8380281690140845,0.7837387964148527,0.0283888974309536,29
31,0.006651830673217773,0.005570863829246766,0.0005919933319091797,0.0011839866638183594,entropy,5,4,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 4}",0.7832167832167832,0.7622377622377622,0.7746478873239436,0.7605633802816901,0.8380281690140845,0.7837387964148527,0.0283888974309536,29
32,0.005832672119140625,0.006258639199376018,0.0007640838623046875,0.000958338138704504,entropy,5,6,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 6}",0.7832167832167832,0.7622377622377622,0.7746478873239436,0.7605633802816901,0.8380281690140845,0.7837387964148527,0.0283888974309536,29
33,0.0049340248107910155,0.004612681765256703,0.0011642932891845702,0.001322102627306978,entropy,5,8,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 8}",0.7832167832167832,0.7622377622377622,0.7746478873239436,0.7323943661971831,0.8380281690140845,0.7781049935979513,0.03455459279823531,38
34,0.005820083618164063,0.004729979645727277,0.0009430408477783203,0.0011753994514129215,entropy,5,10,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10}",0.7832167832167832,0.7622377622377622,0.7746478873239436,0.7323943661971831,0.8380281690140845,0.7781049935979513,0.03455459279823531,38
35,0.00465703010559082,0.003644374762409554,0.0008518695831298828,0.001169926978798275,entropy,7,2,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 2}",0.7902097902097902,0.7692307692307693,0.7816901408450704,0.7816901408450704,0.7887323943661971,0.7823106470993795,0.007422783317848659,34
36,0.012926769256591798,0.012147537855550441,0.003569221496582031,0.006577107666975219,entropy,7,4,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 4}",0.7972027972027972,0.7552447552447552,0.7746478873239436,0.7605633802816901,0.7887323943661971,0.7752782428838766,0.015999783940494453,42
37,0.011290216445922851,0.00621521110018919,0.0027594566345214844,0.005518913269042969,entropy,7,6,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 6}",0.7972027972027972,0.7482517482517482,0.7746478873239436,0.7746478873239436,0.8028169014084507,0.7795134443021766,0.019393840509362166,36
